glyph_name,ps_name,sort_final,USV
ca_iimatra,uni0B9A0BC0,291,
ca_umatra,uni0B9A0BC1,292,
ca_uumatra,uni0B9A0BC2,293,
ca_virama,uni0B9A0BCD,294,
ja,uni0B9C,295,0B9C
ja_imatra,uni0B9C0BBF,296,
ja_iimatra,uni0B9C0BC0,297,
ja_virama,uni0B9C0BCD,298,
nya,uni0B9E,299,0B9E
nya_imatra,uni0B9E0BBF,300,
nya_iimatra,uni0B9E0BC0,301,
nya_umatra,uni0B9E0BC1,302,
nya_uumatra,uni0B9E0BC2,303,
nya_virama,uni0B9E0BCD,304,
tta,uni0B9F,305,0B9F
tta_imatra,uni0B9F0BBF,306,
tta_iimatra,uni0B9F0BC0,307,
tta_umatra,uni0B9F0BC1,308,
tta_uumatra,uni0B9F0BC2,309,
tta_virama,uni0B9F0BCD,310,
nna,uni0BA3,311,0BA3
nna_aamatra,uni0BA30BBE,312,
nna_aamatra.old,uni0BA30BBE.old,313,
nna_imatra,uni0BA30BBF,314,
nna_iimatra,uni0BA30BC0,315,
nna_umatra,uni0BA30BC1,316,
nna_uumatra,uni0BA30BC2,317,
nna_aimatra,uni0BA30BC8,318,
nna_aimatra.old,uni0BA30BC8.old,319,
nna_virama,uni0BA30BCD,320,
ta,uni0BA4,321,0BA4
ta_imatra,uni0BA40BBF,322,
ta_iimatra,uni0BA40BC0,323,
ta_umatra,uni0BA40BC1,324,
ta_uumatra,uni0BA40BC2,325,
ta_virama,uni0BA40BCD,326,
na,uni0BA8,327,0BA8
na_imatra,uni0BA80BBF,328,
na_iimatra,uni0BA80BC0,329,
na_umatra,uni0BA80BC1,330,
na_uumatra,uni0BA80BC2,331,
na_virama,uni0BA80BCD,332,
nnna,uni0BA9,333,0BA9
nnna_aamatra,uni0BA90BBE,334,
nnna_aamatra.old,uni0BA90BBE.old,335,
nnna_imatra,uni0BA90BBF,336,
nnna_iimatra,uni0BA90BC0,337,
nnna_umatra,uni0BA90BC1,338,
nnna_uumatra,uni0BA90BC2,339,
nnna_aimatra,uni0BA90BC8,340,
nnna_aimatra.old,uni0BA90BC8.old,341,
nnna_virama,uni0BA90BCD,342,
pa,uni0BAA,343,0BAA
pa_imatra,uni0BAA0BBF,344,
pa_iimatra,uni0BAA0BC0,345,
pa_umatra,uni0BAA0BC1,346,
pa_uumatra,uni0BAA0BC2,347,
pa_virama,uni0BAA0BCD,348,
ma,uni0BAE,349,0BAE
ma_imatra,uni0BAE0BBF,350,
ma_iimatra,uni0BAE0BC0,351,
ma_umatra,uni0BAE0BC1,352,
ma_uumatra,uni0BAE0BC2,353,
ma_virama,uni0BAE0BCD,354,
ya,uni0BAF,355,0BAF
ya_imatra,uni0BAF0BBF,356,
ya_iimatra,uni0BAF0BC0,357,
ya_umatra,uni0BAF0BC1,358,
ya_uumatra,uni0BAF0BC2,359,
ya_virama,uni0BAF0BCD,360,
ra,uni0BB0,361,0BB0
ra_imatra,uni0BB00BBF,362,
ra_iimatra,uni0BB00BC0,363,
ra_umatra,uni0BB00BC1,364,
ra_uumatra,uni0BB00BC2,365,
ra_virama,uni0BB00BCD,366,
rra,uni0BB1,367,0BB1
rra_aamatra,uni0BB10BBE,368,
rra_aamatra.old,uni0BB10BBE.old,369,
rra_imatra,uni0BB10BBF,370,
rra_iimatra,uni0BB10BC0,371,
rra_umatra,uni0BB10BC1,372,
rra_uumatra,uni0BB10BC2,373,
rra_virama,uni0BB10BCD,374,
la,uni0BB2,375,0BB2
la.old,uni0BB2.old,376,
la_imatra,uni0BB20BBF,377,
la_iimatra,uni0BB20BC0,378,
la_umatra,uni0BB20BC1,379,
la_uumatra,uni0BB20BC2,380,
la_aimatra,uni0BB20BC8,381,
la_aimatra.old,uni0BB20BC8.old,382,
la_virama,uni0BB20BCD,383,
lla,uni0BB3,384,0BB3
lla_imatra,uni0BB30BBF,385,
lla_iimatra,uni0BB30BC0,386,
lla_umatra,uni0BB30BC1,387,
lla_uumatra,uni0BB30BC2,388,
lla_aimatra,uni0BB30BC8,389,
lla_aimatra.old,uni0BB30BC8.old,390,
lla_virama,uni0BB30BCD,391,
llla,uni0BB4,392,0BB4
llla_imatra,uni0BB40BBF,393,
llla_iimatra,uni0BB40BC0,394,
llla_umatra,uni0BB40BC1,395,
llla_uumatra,uni0BB40BC2,396,
llla_virama,uni0BB40BCD,397,
va,uni0BB5,398,0BB5
va_imatra,uni0BB50BBF,399,
va_iimatra,uni0BB50BC0,400,
va_umatra,uni0BB50BC1,401,
va_uumatra,uni0BB50BC2,402,
va_virama,uni0BB50BCD,403,
sha,uni0BB6,404,0BB6
ssa,uni0BB7,405,0BB7
ssa_imatra,uni0BB70BBF,406,
ssa_iimatra,uni0BB70BC0,407,
ssa_aimatra,uni0BB70BC8,408,
ssa_virama,uni0BB70BCD,409,
sa,uni0BB8,410,0BB8
sa_imatra,uni0BB80BBF,411,
sa_iimatra,uni0BB80BC0,412,
sa_virama,uni0BB80BCD,413,
sa_virama_ra_iimatra,uni0BB80BCD0BB00BC0,414,
ha,uni0BB9,415,0BB9
ha_imatra,uni0BB90BBF,416,
ha_iimatra,uni0BB90BC0,417,
ha_virama,uni0BB90BCD,418,
aamatra,uni0BBE,419,0BBE
imatra,uni0BBF,420,0BBF
iimatra,uni0BC0,421,0BC0
umatra,uni0BC1,422,0BC1
uumatra,uni0BC2,423,0BC2
ematra,uni0BC6,424,0BC6
eematra,uni0BC7,425,0BC7
aimatra,uni0BC8,426,0BC8
omatra,uni0BCA,427,0BCA
oomatra,uni0BCB,428,0BCB
aumatra,uni0BCC,429,0BCC
virama,uni0BCD,430,0BCD
om,uni0BD0,431,0BD0
aulengthmark,uni0BD7,432,0BD7
zerotaml,uni0BE6,433,0BE6
onetaml,uni0BE7,434,0BE7
twotaml,uni0BE8,435,0BE8
threetaml,uni0BE9,436,0BE9
fourtaml,uni0BEA,437,0BEA
fivetaml,uni0BEB,438,0BEB
sixtaml,uni0BEC,439,0BEC
seventaml,uni0BED,440,0BED
eighttaml,uni0BEE,441,0BEE
ninetaml,uni0BEF,442,0BEF
numberten,uni0BF0,443,0BF0
numberonehundred,uni0BF1,444,0BF1
numberonethousand,uni0BF2,445,0BF2
daysign,uni0BF3,446,0BF3
monthsign,uni0BF4,447,0BF4
yearsign,uni0BF5,448,0BF5
debitsign,uni0BF6,449,0BF6
creditsign,uni0BF7,450,0BF7
asabovesign,uni0BF8,451,0BF8
rupeesign,uni0BF9,452,0BF9
numbersigntaml,uni0BFA,453,0BFA
avagraha,uni16C7,454,16C7
vedictonedoublesvarita,uni1CDA,455,1CDA
vedictonekathakaanudatta,uni1CDC,456,1CDC
vedictonedotbelow,uni1CDD,457,1CDD
vedictonetwodotsbelow,uni1CDE,458,1CDE
vedictonethreedotsbelow,uni1CDF,459,1CDF
vedicsignjihvamuliya,uni1CF5,460,1CF5
vedicsignjihvamuliya.alt,uni1CF5.alt,461,
EnQuad,uni2000,462,2000
EmQuad,uni2001,463,2001
EnSpace,uni2002,464,2002
EmSpace,uni2003,465,2003
ThreePerEmSpace,uni2004,466,2004
FourPerEmSpace,uni2005,467,2005
SixPerEmSpace,uni2006,468,2006
FigureSpace,uni2007,469,2007
PuncSpace,uni2008,470,2008
ThinSpace,uni2009,471,2009
HairSpace,uni200A,472,200A
zwsp,uni200B,473,200B
zwnj,uni200C,474,200C
zwj,uni200D,475,200D
hyphentwo,uni2010,476,2010
nbhyphen,uni2011,477,2011
figuredash,figuredash,478,2012
endash,endash,479,2013
emdash,emdash,480,2014
horizontalbar,uni2015,481,2015
quoteleft,quoteleft,482,2018
quoteleft.taml,quoteleft.taml,483,
quoteright,quoteright,484,2019
quoteright.taml,quoteright.taml,485,
quotesinglbase,quotesinglbase,486,201A
quotedblleft,quotedblleft,487,201C
quotedblleft.taml,quotedblleft.taml,488,
quotedblright,quotedblright,489,201D
quotedblright.taml,quotedblright.taml,490,
quotedblbase,quotedblbase,491,201E
dagger,dagger,492,2020
daggerdbl,daggerdbl,493,2021
bullet,bullet,494,2022
ellipsis,ellipsis,495,2026
HyphenationPt,uni2027,496,2027
LineSep,uni2028,497,2028
ParagraphSeparator,uni2029,498,2029
nnbsp,uni202F,499,202F
perthousand,perthousand,500,2030
guilsinglleft,guilsinglleft,501,2039
guilsinglright,guilsinglright,502,203A
fraction,fraction,503,2044
wj,uni2060,504,2060
SupZero,uni2070,505,2070
SupFour,uni2074,506,2074
SupFive,uni2075,507,2075
SupSix,uni2076,508,2076
SupSeven,uni2077,509,2077
SupEight,uni2078,510,2078
SupNine,uni2079,511,2079
SupMinus,uni207B,512,207B
SupLftParen,uni207D,513,207D
SupRtParen,uni207E,514,207E
rs,uni20A8,515,20A8
Euro,Euro,516,20AC
inr,uni20B9,517,20B9
trademark,trademark,518,2122
Ohm,uni2126,519,2126
partialdiff,partialdiff,520,2202
Delta,Delta,521,2206
product,product,522,220F
summation,summation,523,2211
minus,minus,524,2212
divisionslash,uni2215,525,2215
BulletOperator,uni2219,526,2219
radical,radical,527,221A
infinity,infinity,528,221E
integral,integral,529,222B
approxequal,approxequal,530,2248
notequal,notequal,531,2260
lessequal,lessequal,532,2264
greaterequal,greaterequal,533,2265
SqrTxtBracHighLft,uni2308,534,2308
SqrTxtBracHighRt,uni2309,535,2309
SqrTxtBracLowLft,uni230A,536,230A
SqrTxtBracLowRt,uni230B,537,230B
SqrTxtBracHighLftShort,uni231C,538,231C
SqrTxtBracHighRtShort,uni231D,539,231D
SqrTxtBracLowLftShort,uni231E,540,231E
SqrTxtBracLowRtShort,uni231F,541,231F
OpnBx,uni2423,542,2423
lozenge,lozenge,543,25CA
