glyph_name,rename,usv,character_name
acutedeva,,0954,DEVANAGARI ACUTE ACCENT
anusvara,,0B82,TAMIL SIGN ANUSVARA
emdash,,2014,EM DASH
endash,,2013,EN DASH
gravedeva,,0953,DEVANAGARI GRAVE ACCENT
horizontalbar,,2015,HORIZONTAL BAR
hyphen,,002D,HYPHEN-MINUS
minus,,2212,MINUS SIGN
